Thread	TimeSleptCal	WasteScalingCal	TimeSleptMeas	TimeErroAbsMeas
Main	12	0,084507	827	73
Main	12	0,084826	900	0
Main	12	0,084826	826	74
Main	12	0,084507	864	36
Main	12	0,084507	846	54
Main	12	0,084507	826	74
Main	12	0,084826	826	74
Main	12	0,084826	878	22
Main	12	0,08427	855	45
Main	12	0,084746	841	59
Main	12	0,084906	827	73
Main	12	0,084746	826	74
Main	12	0,084826	826	74
Main	12	0,084906	849	51
Main	12	0,084826	828	72
Main	12	0,084906	901	1
Main	12	0,084826	826	74
Main	12	0,085066	864	36
Main	12	0,084586	841	59
Main	12	0,084906	827	73
Main	12	0,084507	890	10
Main	12	0,084586	890	10
Main	12	0,084746	867	33
Main	12	0,084586	847	53
Main	12	0,084349	826	74
Main	12	0,084507	824	76
Main	12	0,084507	823	77
Main	12	0,084746	826	74
Main	12	0,085147	829	71
Main	12	0,084507	823	77
Main	12	0,084746	897	3
Main	12	0,084826	884	16
Main	12	0,084507	864	36
Main	12	0,084746	825	75
Main	12	0,084906	826	74
Main	12	0,084507	894	6
Main	12	0,084507	878	22
Main	12	0,084826	864	36
Main	12	0,084906	848	52
Main	12	0,084507	823	77
Main	12	0,084349	821	79
Main	12	0,084666	824	76
Main	12	0,084986	864	36
Main	12	0,084746	825	75
Main	12	0,084507	823	77
Main	12	0,084826	893	7
Main	12	0,084507	874	26
Main	11,777778	0,084906	852	48
Main	11,833333	0,084507	823	77
Main	11,788889	0,084826	826	74
Main	11,788889	0,084826	826	74
Main	11,788889	0,084826	826	74
Main	11,833333	0,084507	823	77
Main	11,788889	0,084826	829	71
Main	11,788889	0,084826	900	0
Main	11,788889	0,084826	826	74
Main	11,855556	0,084349	822	78
Main	11,833333	0,084507	823	77
Main	11,844444	0,084428	822	78
Main	11,877778	0,084191	888	12
Main	11,822222	0,084586	877	23
Main	11,788889	0,084826	862	38
Main	11,833333	0,084507	839	61
Main	11,777778	0,084906	845	55
Main	11,844444	0,084428	822	78
Main	11,788889	0,084826	826	74
Main	11,788889	0,084826	850	50
Main	11,833333	0,084507	828	72
Main	11,788889	0,084826	902	2
Main	11,822222	0,084586	885	15
Main	11,833333	0,084507	823	77
Main	11,833333	0,084507	850	50
Main	11,866667	0,08427	820	80
Main	11,844444	0,084428	823	77
Main	11,833333	0,084507	880	20
Main	11,855556	0,084349	822	78
Main	11,788889	0,084826	826	74
Main	11,788889	0,084826	826	74
Main	11,777778	0,084906	899	1
Main	11,844444	0,084428	879	21
Main	11,822222	0,084586	867	33
Main	11,788889	0,084826	826	74
Main	11,788889	0,084826	826	74
Main	11,822222	0,084586	824	76
Main	11,833333	0,084507	823	77
Main	11,788889	0,084826	862	38
Main	11,8	0,084746	846	54
Main	11,833333	0,084507	823	77
Main	11,855556	0,084349	892	8
Main	11,833333	0,084507	823	77
Main	11,744445	0,085147	829	71
Main	11,855556	0,084349	832	68
Main	11,788889	0,084826	826	74
Main	11,777778	0,084906	895	5
Main	11,788889	0,084826	878	22
Main	11,777778	0,084906	853	47
Main	11,788889	0,084826	841	59
Main	11,833333	0,084507	824	76
Main	11,833333	0,084507	888	12
Main	11,788889	0,084826	826	74
Worker	11	0,092402	899	1
Worker	11	0,092402	900	0
Worker	11	0,092402	947	47
Worker	11	0,092402	899	1
Worker	11	0,092497	901	1
Worker	11	0,092402	899	1
Worker	11	0,092402	899	1
Worker	11	0,092402	899	1
Worker	11	0,092497	901	1
Worker	11	0,092402	899	1
Worker	11	0,092497	901	1
Worker	11	0,092497	900	0
Worker	11	0,092402	900	0
Worker	11	0,092497	901	1
Worker	11	0,092497	901	1
Worker	11	0,092497	901	1
Worker	11	0,092402	900	0
Worker	11	0,092497	901	1
Worker	11	0,092402	899	1
Worker	11	0,092497	901	1
Worker	11	0,092497	963	63
Worker	11	0,092497	901	1
Worker	11	0,092402	899	1
Worker	11	0,092497	915	15
Worker	11	0,092497	901	1
Worker	11	0,092497	966	66
Worker	11	0,092402	899	1
Worker	11	0,092402	899	1
Worker	11	0,092497	901	1
Worker	11	0,092402	975	75
Worker	11	0,092497	901	1
Worker	11	0,092497	901	1
Worker	11	0,092402	899	1
Worker	11	0,092497	901	1
Worker	11	0,092497	901	1
Worker	11	0,092497	901	1
Worker	11	0,092402	900	0
Worker	11	0,092497	901	1
Worker	11	0,092497	901	1
Worker	11	0,092497	901	1
Worker	11	0,092497	960	60
Worker	11	0,092497	943	43
Worker	11	0,092497	901	1
Worker	11	0,092402	900	0
Worker	11	0,092402	899	1
Worker	11	0,092402	899	1
Worker	11	0,092402	899	1
Worker	10,811111	0,092497	901	1
Worker	10,822222	0,092402	899	1
Worker	10,811111	0,092497	973	73
Worker	10,811111	0,092497	901	1
Worker	10,822222	0,092402	900	0
Worker	10,811111	0,092497	900	0
Worker	10,822222	0,092402	899	1
Worker	10,822222	0,092402	899	1
Worker	10,822222	0,092402	946	46
Worker	10,822222	0,092402	899	1
Worker	10,811111	0,092497	901	1
Worker	10,811111	0,092497	901	1
Worker	10,811111	0,092497	901	1
Worker	10,822222	0,092402	899	1
Worker	10,811111	0,092497	900	0
Worker	10,811111	0,092497	901	1
Worker	10,822222	0,092402	899	1
Worker	10,822222	0,092402	899	1
Worker	10,811111	0,092497	901	1
Worker	10,822222	0,092402	900	0
Worker	10,822222	0,092402	899	1
Worker	10,811111	0,092497	901	1
Worker	10,822222	0,092402	954	54
Worker	10,822222	0,092402	899	1
Worker	10,822222	0,092402	899	1
Worker	10,811111	0,092497	901	1
Worker	10,822222	0,092402	899	1
Worker	10,822222	0,092402	949	49
Worker	10,822222	0,092402	899	1
Worker	10,811111	0,092497	901	1
Worker	10,811111	0,092497	901	1
Worker	10,811111	0,092497	900	0
Worker	10,822222	0,092402	949	49
Worker	10,822222	0,092402	900	0
Worker	10,822222	0,092402	899	1
Worker	10,811111	0,092497	901	1
Worker	10,822222	0,092402	962	62
Worker	10,811111	0,092497	901	1
Worker	10,822222	0,092402	927	27
Worker	10,822222	0,092402	899	1
Worker	10,822222	0,092402	899	1
Worker	10,822222	0,092402	900	0
Worker	10,811111	0,092497	901	1
Worker	10,822222	0,092402	899	1
Worker	10,811111	0,092497	901	1
Worker	10,811111	0,092497	972	72
Worker	10,822222	0,092402	899	1
Worker	10,822222	0,092402	899	1
Worker	10,811111	0,092497	901	1
Worker	10,822222	0,092402	899	1
Worker	10,811111	0,092497	901	1
Worker	10,822222	0,092402	900	0
Worker	10,822222	0,092402	899	1
